Doença,Características,Descrição
Ramulose,"Lesões necróticas, folhas enrugadas, superbrotamento","Doença causada pelo fungo Colletotrichum gossypii var. cephalosporiodes, transmitida por sementes e restos culturais."
Ramulária ou Mancha-branca,Lesões brancas de formato angular e aspecto cotonoso,"Causada pelo fungo Ramularia areola, ocorre mais intensamente em locais de alta umidade e sombreamento."
Mancha de Alternária,Lesões arredondadas com bordas escuras e interior marrom,"Causada por Alternaria macrospora e Alternaria alternata, afeta folhas e maçãs do algodoeiro."
Mancha angular,"Lesões angulares de aspecto úmido, delimitadas pelas nervuras","Causada pela bactéria Xanthomonas axonopodis pv. malvacearum, disseminada pela chuva e transmitida por sementes."
Ferrugem tropical,Pequenas pústulas amarelo-pálidas que tornam-se castanhas,"Causada pelo fungo Phakopsora gossypii, ocorre em folhas, pecíolos e ramos, podendo levar à desfolha."
Mancha de Estenfílio,"Lesões escuras, circulares ou irregulares, tornando-se avermelhadas","Causada pelo fungo Stemphylium solani, pode levar a grandes perdas em cultivares suscetíveis."
Murcha de Fusarium,"Murcha e seca de folhas, descoloração dos feixes vasculares","Causada pelo fungo Fusarium oxysporum f. sp. vasinfectum, afeta raízes e pode levar à morte da planta."
Nematóides,"Formação de galhas nas raízes, plantas com crescimento reduzido","Causados por Meloidogyne incognita e Rotylenchulus reniformis, comprometem a produção do algodoeiro."
Tombamento de plântulas,Plantas jovens murcham e morrem rapidamente,"Causado por diversos fungos como Rhizoctonia solani e Fusarium spp., reduzindo o estande inicial da lavoura."
Mosaico comum,"Manchas amarelas tipo mosaico, nanismo da planta","Possivelmente causado pelo Abutilon Mosaic Virus, transmitido pela mosca-branca."
Mosaico das nervuras,"Encurtamento dos entrenós, amarelecimento das nervuras","Transmissão por pulgões, causa deformações nas folhas e redução do crescimento."
Vermelhão,Áreas avermelhadas ou arroxeadas entre nervuras,"Causado pelo Cotton anthocyanosis virus, transmitido por pulgões."
